Subscriber Tier,Subscribers,Engagement Rate,High Engagement,Influencer Count
Mega,117495049.5049505,1.4548052146322425,0.1485148514851485,101
Micro,6868367.346938776,8.362495990927883,0.9251700680272109,294
Mid,21620408.163265307,2.547799454811069,0.3469387755102041,588
