S.no,Instagram name,Name,Subscribers,Audience country,Authentic engagement,Engagement average,Category_1,Category_2,Engagement Rate,High Engagement,Primary Category,Subscriber Tier,Subscribers_scaled,Authentic engagement_scaled,Engagement average_scaled
152,elrubiuswtf,el rubius WTF,17300000.0,mexico,1300000.0,1400000.0,computers & gadgets,unknown,7.514450867052023,1,computers & gadgets,Mid,0.028272443546906553,0.10236220472440945,0.1078336938843184
153,hegdepooja,Pooja Hegde,21300000.0,india,995700.0,1100000.0,cinema & actors/actresses,unknown,4.674647887323943,1,cinema & actors/actresses,Mid,0.035615935377271896,0.0784015748031496,0.08414786274850385
154,vinijr,Vinicius Jr. ⚡️🇧🇷,22300000.0,brazil,610100.0,1100000.0,sports with a ball,lifestyle,2.7358744394618837,1,sports with a ball,Mid,0.03745180833486323,0.04803937007874016,0.08414786274850385
155,feliciathegoat,"Tyler, The Creator",13200000.0,united states,1100000.0,1800000.0,unknown,unknown,8.333333333333332,1,unknown,Mid,0.02074536442078208,0.08661417322834646,0.13941480206540446
156,lewishamilton,Lewis Hamilton,29800000.0,brazil,564500.0,810500.0,racing sports,unknown,1.894295302013423,0,racing sports,Mid,0.05122085551679824,0.0444488188976378,0.0612910357024428
157,zidane,zidane,33700000.0,spain,524200.00000000006,714000.0,sports with a ball,unknown,1.5554896142433237,0,sports with a ball,Mid,0.05838076005140444,0.04127559055118111,0.053672093353755786
158,natgeo,National Geographic,238300000.0,united states,78800.0,100300.0,nature & landscapes,science,0.03306756189676878,0,nature & landscapes,Mega,0.4340003671745915,0.006204724409448819,0.005218778126924474
159,madelyncline,Maddie,12600000.0,united states,1300000.0,1900000.0,cinema & actors/actresses,unknown,10.317460317460316,1,cinema & actors/actresses,Mid,0.019643840646227283,0.10236220472440945,0.147310079110676
160,henrycavill,Henry Cavill,21700000.0,brazil,897000.0,1100000.0,cinema & actors/actresses,unknown,4.1336405529953915,1,cinema & actors/actresses,Mid,0.03635028456030843,0.07062992125984252,0.08414786274850385
161,theestallion,Megan Thee Stallion,29800000.0,united states,451400.0,788200.0,unknown,unknown,1.514765100671141,0,unknown,Mid,0.05122085551679824,0.03554330708661417,0.05953038892134725
162,saraalikhan95,Sara Ali Khan,41200000.0,india,459900.0,561200.0,cinema & actors/actresses,unknown,1.1162621359223301,0,cinema & actors/actresses,Mid,0.07214980723333946,0.03621259842519685,0.041608110028580905
163,jacobelordi,Jacob Elordi,13200000.0,brazil,1100000.0,1700000.0,cinema & actors/actresses,unknown,8.333333333333332,1,cinema & actors/actresses,Mid,0.02074536442078208,0.08661417322834646,0.13151952502013295
164,bizarrap,BZRP,14900000.0,argentina,1300000.0,1500000.0,unknown,unknown,8.724832214765101,1,unknown,Mid,0.02386634844868735,0.10236220472440945,0.11572897092958992
165,leedongwook_official,이동욱 (Official_Instagram),14800000.0,indonesia,1200000.0,1600000.0,cinema & actors/actresses,unknown,8.108108108108109,1,cinema & actors/actresses,Mid,0.02368276115292822,0.09448818897637795,0.12362424797486143
166,thenameisyash,Yash,11200000.0,india,1700000.0,2000000.0,cinema & actors/actresses,unknown,15.178571428571427,1,cinema & actors/actresses,Mid,0.017073618505599412,0.13385826771653545,0.15520535615594752
167,hrithikroshan,Hrithik Roshan,43900000.0,india,407500.0,515700.00000000006,cinema & actors/actresses,unknown,0.928246013667426,0,cinema & actors/actresses,Mid,0.07710666421883605,0.03208661417322835,0.038015758972982365
168,kapilsharma,Kapil Sharma,42600000.0,india,463900.0,528600.0,cinema & actors/actresses,shows,1.0889671361502347,0,cinema & actors/actresses,Mid,0.07472002937396732,0.03652755905511811,0.039034249711822386
169,shakira,Shakira,76200000.0,india,216500.0,296200.0,unknown,unknown,0.28412073490813644,0,unknown,Mega,0.13640536074903617,0.017047244094488188,0.02068562585861138
170,jichangwook,지창욱,21400000.0,indonesia,828300.0,1100000.0,cinema & actors/actresses,unknown,3.8705607476635513,1,cinema & actors/actresses,Mid,0.03579952267303103,0.06522047244094488,0.08414786274850385
171,imhyoseop,안효섭,8900000.0,indonesia,2200000.0,2500000.0,lifestyle,unknown,24.719101123595504,1,lifestyle,Micro,0.012851110703139343,0.1732283464566929,0.1946817413823051
172,norafatehi,Nora Fatehi,42100000.0,india,424400.0,522299.99999999994,cinema & actors/actresses,shows,1.0080760095011876,0,cinema & actors/actresses,Mid,0.07380209289517166,0.03341732283464567,0.038536847257970276
173,cznburak,Burak Özdemir,40400000.0,turkey,398900.0,541900.0,food & cooking,unknown,0.9873762376237624,0,food & cooking,Mid,0.07068110886726639,0.03140944881889764,0.0400843215588435
