S.no,Instagram name,Name,Subscribers,Audience country,Authentic engagement,Engagement average,Category_1,Category_2
235,sunnyleone,Sunny Leone,53500000.0,india,195500.0,264700.0,beauty,cinema & actors/actresses
236,justintimberlake,Justin Timberlake,66099999.99999999,united states,157900.0,210900.0,cinema & actors/actresses,unknown
237,riyaz.14,Riyaz Aly,27400000.0,india,395000.0,514000.0,lifestyle,unknown
238,juliette,Juliette,33400000.0,brazil,260800.0,414500.0,cinema & actors/actresses,unknown
239,xxxibgdrgn,권지용(權志龍),21300000.0,indonesia,504800.0,640000.0,photography,fashion
240,hyunah_aa,Hyun Ah,18200000.0,south korea,622100.0,737200.0,unknown,unknown
241,ranveersingh,Ranveer Singh,41100000.0,india,247400.0,322000.0,cinema & actors/actresses,modeling
242,bretmanrock,Bretman (Da Baddest) Rock,18500000.0,united states,424600.0,714800.0,beauty,unknown
243,kevinhart4real,Kevin Hart,152500000.0,united states,68900.0,87300.0,cinema & actors/actresses,unknown
244,evaluna,Evaluna Montaner de Echeverry,20700000.0,argentina,457800.0,630700.0,family,unknown
245,prattprattpratt,Chris Pratt,38600000.0,united states,258399.99999999997,338100.0,cinema & actors/actresses,unknown
246,jbalvin,J Balvin,52800000.0,mexico,188500.0,247500.0,unknown,unknown
247,jairmessiasbolsonaro,Jair M. Bolsonaro,21300000.0,brazil,452800.0,628900.0,finance & economics,business & careers
248,britneyspears,Britney Spears,42200000.0,united states,222700.0,309700.0,unknown,unknown
249,janhvikapoor,Janhvi Kapoor,18500000.0,india,581100.0,693300.0,lifestyle,cinema & actors/actresses
250,tinistoessel,LaTripleT,18600000.0,argentina,514799.99999999994,690500.0,unknown,unknown
251,lukamodric10,Luka Modric,24800000.0,spain,349000.0,511300.0,sports with a ball,unknown
252,anushkasen0408,Anushka Sen,38600000.0,india,282700.0,330300.0,cinema & actors/actresses,unknown
253,min9yu_k,김민규,7600000.0,indonesia,1400000.0,1700000.0,unknown,unknown
254,keerthysureshofficial,Keerthy Suresh,13600000.0,india,805000.0,921100.0,beauty,cinema & actors/actresses
255,samoylovaoxana,Samoylova Oxana,15300000.0,russia,603400.0,818100.0,family,lifestyle
256,juandediospantoja,JD PANTOJA 🇲🇽,22600000.0,mexico,479400.0,547600.0,cinema & actors/actresses,unknown
257,sidmalhotra,Sidharth Malhotra,20600000.0,india,478200.0,595500.0,cinema & actors/actresses,modeling
258,avneetkaur_13,Avneet Kaur Official,32500000.0,india,308500.0,375800.0,cinema & actors/actresses,unknown
259,garethbale11,Gareth Bale,48100000.0,spain,160600.0,251800.0,sports with a ball,unknown
